state,date,forecast_sales,model
Utah,2023-12-10,154059477.89,Sample seasonal-naive preview
Utah,2023-12-17,163235338.6,Sample seasonal-naive preview
Utah,2023-12-24,172411199.31,Sample seasonal-naive preview
Utah,2023-12-31,181587060.01,Sample seasonal-naive preview
Utah,2024-01-07,190762920.72,Sample seasonal-naive preview
Utah,2024-01-14,199938781.43,Sample seasonal-naive preview
Utah,2024-01-21,209114642.14,Sample seasonal-naive preview
Utah,2024-01-28,218290502.84,Sample seasonal-naive preview
Vermont,2023-12-10,32801119.25,Sample seasonal-naive preview
Vermont,2023-12-17,34722076.48,Sample seasonal-naive preview
Vermont,2023-12-24,36643033.71,Sample seasonal-naive preview
Vermont,2023-12-31,38563990.94,Sample seasonal-naive preview
Vermont,2024-01-07,40484948.17,Sample seasonal-naive preview
Vermont,2024-01-14,42405905.4,Sample seasonal-naive preview
Vermont,2024-01-21,44326862.63,Sample seasonal-naive preview
Vermont,2024-01-28,46247819.86,Sample seasonal-naive preview
Virginia,2023-12-10,526313391.38,Sample seasonal-naive preview
Virginia,2023-12-17,556558903.51,Sample seasonal-naive preview
Virginia,2023-12-24,586804415.64,Sample seasonal-naive preview
Virginia,2023-12-31,617049927.77,Sample seasonal-naive preview
Virginia,2024-01-07,647295439.9,Sample seasonal-naive preview
Virginia,2024-01-14,677540952.03,Sample seasonal-naive preview
Virginia,2024-01-21,707786464.16,Sample seasonal-naive preview
Virginia,2024-01-28,738031976.28,Sample seasonal-naive preview
Washington,2023-12-10,337719066.39,Sample seasonal-naive preview
Washington,2023-12-17,357037496.52,Sample seasonal-naive preview
Washington,2023-12-24,376355926.64,Sample seasonal-naive preview
Washington,2023-12-31,395674356.76,Sample seasonal-naive preview
Washington,2024-01-07,414992786.89,Sample seasonal-naive preview
Washington,2024-01-14,434311217.01,Sample seasonal-naive preview
Washington,2024-01-21,453629647.13,Sample seasonal-naive preview
Washington,2024-01-28,472948077.25,Sample seasonal-naive preview
West Virginia,2023-12-10,136528241.87,Sample seasonal-naive preview
West Virginia,2023-12-17,144028377.58,Sample seasonal-naive preview
West Virginia,2023-12-24,151528513.3,Sample seasonal-naive preview
West Virginia,2023-12-31,159028649.02,Sample seasonal-naive preview
West Virginia,2024-01-07,166528784.74,Sample seasonal-naive preview
West Virginia,2024-01-14,174028920.46,Sample seasonal-naive preview
West Virginia,2024-01-21,181529056.17,Sample seasonal-naive preview
West Virginia,2024-01-28,189029191.89,Sample seasonal-naive preview
Wisconsin,2023-12-10,284216514.84,Sample seasonal-naive preview
Wisconsin,2023-12-17,300475710.6,Sample seasonal-naive preview
Wisconsin,2023-12-24,316734906.36,Sample seasonal-naive preview
Wisconsin,2023-12-31,332994102.11,Sample seasonal-naive preview
Wisconsin,2024-01-07,349253297.87,Sample seasonal-naive preview
Wisconsin,2024-01-14,365512493.63,Sample seasonal-naive preview
Wisconsin,2024-01-21,381771689.39,Sample seasonal-naive preview
Wisconsin,2024-01-28,398030885.15,Sample seasonal-naive preview
Wyoming,2023-12-10,38557461.54,Sample seasonal-naive preview
Wyoming,2023-12-17,40832204.22,Sample seasonal-naive preview
Wyoming,2023-12-24,43106946.9,Sample seasonal-naive preview
Wyoming,2023-12-31,45381689.58,Sample seasonal-naive preview
Wyoming,2024-01-07,47656432.26,Sample seasonal-naive preview
Wyoming,2024-01-14,49931174.94,Sample seasonal-naive preview
Wyoming,2024-01-21,52205917.62,Sample seasonal-naive preview
Wyoming,2024-01-28,54480660.3,Sample seasonal-naive preview
